"gene","NPC_prevalence","OPC_prevalence","AC_prevalence","MES_prevalence","SRI","worst_state","state_imbalance"
"PTPN11",0.368,0.476,0.381,0.286,0.286,"MES",0.19
"SEMA6A",0.526,0.381,0.381,0.048,0.048,"MES",0.479
"SOX10",0,0.524,0,0.048,0,"NPC",0.524
"SOX9",0.421,0.429,0.429,0.333,0.333,"MES",0.095
"SPEN",0.421,0.381,0.381,0.381,0.381,"OPC",0.04
"SPIRE1",0.263,0.381,0.286,0.095,0.095,"MES",0.286
"SYNE1",0.316,0.381,0.333,0.19,0.19,"MES",0.19
"TMC7",0.053,0.143,0.048,0.048,0.048,"AC",0.095
"TRERF1",0,0,0,0,0,"NPC",0
"ZSCAN12",0.053,0,0,0,0,"OPC",0.053
"CHD7",0.474,0.524,0.429,0.381,0.381,"MES",0.143
"LRP1B",0.053,0.048,0.048,0,0,"MES",0.053
"PRKD1",0.105,0.143,0.238,0.048,0.048,"MES",0.19
"DIS3",0.421,0.476,0.286,0.333,0.286,"AC",0.19
"ITPR3",0,0.048,0,0,0,"NPC",0.048
"SPATA5",0.105,0.143,0,0.048,0,"AC",0.143
"MDN1",0.105,0.048,0.048,0.048,0.048,"OPC",0.058
"WSB1",0.895,0.905,0.905,0.905,0.895,"NPC",0.01
"NR1H3",0.053,0,0.095,0.143,0,"OPC",0.143
"NFKB1",0.053,0.143,0.381,0.476,0.053,"NPC",0.424
"ZCCHC14",0.105,0.095,0.095,0.095,0.095,"OPC",0.01
"RBBP6",0.632,0.571,0.571,0.571,0.571,"OPC",0.06
"CROCC",0.158,0.048,0,0,0,"AC",0.158
"PANK2",0.632,0.429,0.429,0.524,0.429,"OPC",0.203
"SPEG",0.263,0.095,0.333,0.048,0.048,"MES",0.286
"TMCO3",0.526,0.381,0.333,0.381,0.333,"AC",0.193
"HECW1",0.211,0,0,0,0,"OPC",0.211
"FAM186A",0,0,0,0,0,"NPC",0
"RAB37",0,0,0,0,0,"NPC",0
"GIMAP8",0,0,0,0.048,0,"NPC",0.048
"PSG2",0,0,0,0,0,"NPC",0
"HSPBP1",0.579,0.524,0.571,0.476,0.476,"MES",0.103
"MYBPC1",0.053,0.143,0.381,0,0,"MES",0.381
"SALL3",0.158,0.286,0.095,0,0,"MES",0.286
"USP42",0.368,0.333,0.286,0.238,0.238,"MES",0.13
"PRKDC",0.526,0.524,0.524,0.619,0.524,"OPC",0.095
"FOXJ3",0.316,0.333,0.286,0.238,0.238,"MES",0.095
"ZC3H7A",0.316,0.476,0.333,0.381,0.316,"NPC",0.16
"CLSTN3",0.211,0.048,0.095,0.048,0.048,"OPC",0.163
"ZNF440",0.053,0.048,0.048,0.048,0.048,"OPC",0.005
"ATXN1",0.474,0.381,0.381,0.381,0.381,"OPC",0.093
"MPV17",0.526,0.81,0.81,0.714,0.526,"NPC",0.283
"STK24",0.158,0.095,0.238,0.524,0.095,"OPC",0.429
"PYGL",0.263,0.19,0.524,0.571,0.19,"OPC",0.381
"ZBTB21",0,0.095,0.048,0.095,0,"NPC",0.095
"SERPINA5",0,0.048,0,0,0,"NPC",0.048
"ZFC3H1",0.316,0.286,0.333,0.333,0.286,"OPC",0.048
"NR1H2",0.474,0.571,0.571,0.714,0.474,"NPC",0.241
"SEMA3A",0.158,0.095,0.095,0.048,0.048,"MES",0.11
"ZNF528",0.368,0.333,0.19,0.048,0.048,"MES",0.321
"PTEN",0.474,0.286,0.476,0.476,0.286,"OPC",0.19
"PGM5",0,0.095,0.095,0,0,"NPC",0.095
"RIMBP2",0,0,0,0,0,"NPC",0
"KIF27",0,0.048,0,0,0,"NPC",0.048
"GRM8",0,0,0,0,0,"NPC",0
"ASPM",0.053,0.286,0.048,0.095,0.048,"AC",0.238
"BTBD3",0.158,0.333,0.238,0.048,0.048,"MES",0.286
"NFASC",0.263,0.571,0.333,0.048,0.048,"MES",0.524
"ACTR1B",0.474,0.476,0.381,0.619,0.381,"AC",0.238
"PLAGL1",0.053,0,0.095,0.095,0,"OPC",0.095
"MPO",0,0,0,0,0,"NPC",0
"RGS18",0.105,0,0.286,0.381,0,"OPC",0.381
"ITGAM",0.053,0,0.381,0.476,0,"OPC",0.476
"SPATA6L",0.053,0,0,0,0,"OPC",0.053
"KCNK6",0.105,0.048,0.143,0.19,0.048,"OPC",0.143
"MATN4",0,0,0,0,0,"NPC",0
"AHI1",0.526,0.571,0.429,0.381,0.381,"MES",0.19
"CALM3",0.684,0.905,0.857,0.905,0.684,"NPC",0.221
"CDCP1",0.053,0,0,0.238,0,"OPC",0.238
"DPP8",0.368,0.429,0.333,0.381,0.333,"AC",0.095
"DPY19L2",0,0.048,0,0,0,"NPC",0.048
"FAT1",0.053,0.238,0.143,0.048,0.048,"MES",0.19
"KCTD8",0.053,0.048,0,0,0,"AC",0.053
"NOTCH1",0.263,0.381,0.286,0.143,0.143,"MES",0.238
"NPHP3",0.316,0.333,0.238,0.095,0.095,"MES",0.238
"RNF217",0.053,0.048,0.095,0.143,0.048,"OPC",0.095
"SORL1",0.158,0.429,0.619,0.762,0.158,"NPC",0.604
"SUPV3L1",0.263,0.238,0.095,0.19,0.095,"AC",0.168
"BTBD8",0,0.048,0,0,0,"NPC",0.048
"PLXNA2",0.158,0.143,0.19,0,0,"MES",0.19
"MYO7B",0,0,0,0,0,"NPC",0
"PIK3CB",0.105,0.19,0.19,0.19,0.105,"NPC",0.085
"ANTXR2",0.158,0.19,0.143,0.19,0.143,"AC",0.048
"NPNT",0.053,0.143,0.19,0,0,"MES",0.19
"RAD1",0.632,0.429,0.381,0.524,0.381,"AC",0.251
"P4HA2",0.105,0,0.095,0.286,0,"OPC",0.286
"CAP2",0.316,0.238,0.238,0,0,"MES",0.316
"EGFR",0.474,0.619,0.524,0.333,0.333,"MES",0.286
"CNTNAP2",0.105,0,0.143,0,0,"OPC",0.143
"TOLLIP",0.526,0.524,0.524,0.524,0.524,"OPC",0.003
"KCNA4",0,0,0,0,0,"NPC",0
"TECTA",0,0,0,0,0,"NPC",0
"TMEM52B",0.053,0,0.238,0.286,0,"OPC",0.286
"PCSK6",0,0.095,0,0,0,"NPC",0.095
"CLEC19A",0,0,0,0,0,"NPC",0
"SHPK",0,0,0,0,0,"NPC",0
"SRCIN1",0,0.19,0,0,0,"NPC",0.19
"ST6GALNAC1",0,0,0,0,0,"NPC",0
"BSG",0.789,0.952,0.952,1,0.789,"NPC",0.211
"PTPRA",0.526,0.476,0.571,0.524,0.476,"OPC",0.095
"SLC4A11",0,0.048,0.048,0,0,"NPC",0.048
"KLHL22",0.263,0.381,0.19,0.048,0.048,"MES",0.333
"MYH9",0.105,0.429,0.524,0.714,0.105,"NPC",0.609
"INTS2",0.053,0.048,0.048,0.048,0.048,"OPC",0.005
"STPG1",0.053,0,0,0,0,"OPC",0.053
"LAMB3",0.105,0,0,0,0,"OPC",0.105
"SOCS5",0.105,0.143,0.095,0.095,0.095,"AC",0.048
"HOMER1",0.316,0.19,0.381,0.143,0.143,"MES",0.238
"ANKHD1",0.316,0.286,0.143,0.238,0.143,"AC",0.173
"MTCH1",0.737,0.714,0.714,0.714,0.714,"OPC",0.023
"CHMP7",0.368,0.476,0.333,0.381,0.333,"AC",0.143
"NRG1",0,0,0,0,0,"NPC",0
"ANKS6",0.053,0.19,0.048,0.048,0.048,"AC",0.143
"ZNF408",0.421,0.333,0.048,0.143,0.048,"AC",0.373
"SLC39A5",0,0,0,0,0,"NPC",0
"CAND1",0.737,0.524,0.381,0.429,0.381,"AC",0.356
"COG6",0.211,0.429,0.286,0.143,0.143,"MES",0.286
"CYSLTR2",0,0,0,0,0,"NPC",0
"FARP1",0.421,0.381,0.381,0.381,0.381,"OPC",0.04
"FBLN5",0,0.048,0.095,0,0,"NPC",0.095
"ABCC11",0,0,0,0,0,"NPC",0
"EPB41L3",0,0.333,0.429,0.381,0,"NPC",0.429
"ARID3A",0.263,0.286,0.381,0.524,0.263,"NPC",0.261
"FCGBP",0.158,0.286,0.714,0.524,0.158,"NPC",0.556
"CLEC11A",0.316,0.333,0.333,0.381,0.316,"NPC",0.065
"LSS",0.105,0.333,0.143,0.048,0.048,"MES",0.286
"TUBA8",0,0,0,0,0,"NPC",0
"DENND6B",0.105,0.048,0.381,0.381,0.048,"OPC",0.333
"DDX3X",0.789,0.714,0.762,0.857,0.714,"OPC",0.143
"SYTL4",0,0,0.095,0,0,"NPC",0.095
"ZC3HC1",0.526,0.381,0.333,0.143,0.143,"MES",0.383
"TLN1",0.368,0.524,0.619,0.714,0.368,"NPC",0.346
"CBL",0.105,0.19,0.238,0.143,0.105,"NPC",0.133
"BOD1L1",0.474,0.429,0.381,0.381,0.381,"AC",0.093
"LZTS2",0.105,0.286,0.095,0.19,0.095,"AC",0.19
"TMEM38A",0.158,0.048,0.19,0.095,0.048,"OPC",0.143
"ZNF224",0.368,0.286,0.238,0.19,0.19,"MES",0.178
"DBNL",0.737,0.762,0.714,0.81,0.714,"AC",0.095
"PRC1",0.316,0.476,0.143,0.286,0.143,"AC",0.333
"WDR45",0.421,0.524,0.667,0.714,0.421,"NPC",0.293
"ACTN1",0.368,0.143,0.571,0.619,0.143,"OPC",0.476
"HGS",0.579,0.476,0.429,0.476,0.429,"AC",0.15
"IQGAP1",0.105,0.429,0.429,0.714,0.105,"NPC",0.609
"EIF2B5",0.474,0.381,0.381,0.333,0.333,"MES",0.14
"CC2D1B",0.053,0,0,0.048,0,"OPC",0.053
"EXOC6B",0.105,0.19,0.095,0.048,0.048,"MES",0.143
"GBP1",0.105,0.333,0.619,0.571,0.105,"NPC",0.514
"KBTBD2",0.316,0.429,0.333,0.286,0.286,"MES",0.143
"RAB11FIP5",0,0.048,0.048,0.048,0,"NPC",0.048
"KLKB1",0,0,0,0,0,"NPC",0
"HMOX1",0.368,0.333,0.857,0.952,0.333,"OPC",0.619
"MDH1B",0,0,0.048,0,0,"NPC",0.048
"AXL",0.158,0.095,0.619,0.619,0.095,"OPC",0.524
"CAMSAP1",0.368,0.286,0.048,0.095,0.048,"AC",0.321
"NKD1",0.105,0.19,0,0,0,"AC",0.19
"TANC1",0.158,0.381,0.381,0.048,0.048,"MES",0.333
"FASTK",0.474,0.619,0.714,0.714,0.474,"NPC",0.241
"PIK3CA",0.368,0.381,0.238,0.095,0.095,"MES",0.286
"IGHMBP2",0.211,0.143,0.048,0.095,0.048,"AC",0.163
"WDFY3",0.105,0.238,0.238,0.143,0.105,"NPC",0.133
"TNFSF12",0.158,0.238,0.619,0.571,0.158,"NPC",0.461
"DET1",0,0.095,0.048,0,0,"NPC",0.095
"TBC1D22B",0.105,0.143,0,0.048,0,"AC",0.143
"MYT1",0.263,0.19,0,0,0,"AC",0.263
